Name,Category,Address,Latitude,Longitude
African Huts,Resort hotel,,-4.3245041,39.5648913
Golf and Living,Resort hotel,,-4.2854215,39.5863669
Twiga Lodge,4-star hotel,,-4.2404172,39.6026818
Safina Cottages,3-star hotel,,-4.3083826,39.574437
Mkelekele House,Hotel,,-4.243797,39.600954
Amani Tiwi Beach Resort,4-star hotel,,-4.2520029,39.5994529
LaSpaDiani,4-star hotel,,-4.3223241,39.5621214
Maasai Paradise,Hotel,,-4.2869817,39.5659974
Diani Beach,Group accommodation,,-4.2797626,39.5946957
Kongo river (shambani) bungalows,Cottage,,-4.259795,39.5947
BmB Villar,Hotel,,-4.2879586,39.5652384
Marula Park,3-star hotel,,-4.3115782,39.576011
Zana Villas,Villa,,-4.3252855,39.5645594
Footprints House,4-star hotel,,-4.3022948,39.5811185
DianiKwetu Resort,Resort hotel,,-4.2697549,39.5921969
Saffron Villas,Hotel,,-4.3135024,39.5759322
Seaesta Studios Diani,Guest house,,-4.286871,39.5755252
Diani Paradise Villas,Villa,,-4.2946059,39.579947
Inchi Raha Cottages,3-star hotel,,-4.2780581,39.570019
Diani Forest Lodge,Lodge,,-4.2790822,39.5636196
Flametree Beach Homes,3-star hotel,,-4.2977695,39.5786766
Peekaboo,Bed & breakfast,,-4.3029146,39.5776582
Diani Beach Club,Bed & breakfast,,-4.3279487,39.5715614
Kwale Golden Guest House,3-star hotel,,-4.1754047,39.44978
Satao Guest House,4-star hotel,,-4.2877253,39.5664259
Ndege Cottages,Cottage,,-4.3033977,39.5773697
Monkey Suites,Villa,,-4.3172033,39.5753582
Germano Cottages Garden and Pool,Hotel,,-4.2878614,39.5766889
Fiorella Beach House,Serviced accommodation,,-4.2965385,39.5833337
Gecko Hotel resort,Resort hotel,,-4.285279,39.574121
Tiwani Cottages,4-star hotel,,-4.2408239,39.5974086
Kenya Charming Villas,Villa,,-4.2629574,39.5953307
V-Szameitat Homes (Diani South Coast-Kenya),Villa,,-4.3087014,39.5792684
vila,3-star hotel,,-4.2919792,39.5700155
"Shani House -Diani beach front private luxury villa, fully staffed.",,,-4.2614989,39.5969048
Modern 4-Bedroom Villa with Rooftop & Beach Access – Diani,,,-4.2711039,39.5930023
Private Backdoor Villa with big swimming pool and services of chef included,Villa,,-4.2650099,39.5936699
Amkia Villas Diani,Villa,,-4.2795348,39.5936508
Casa Zuri Diani Beach Villa,,,-4.27879,39.5895691
"Private villa with big pool, a chef free of charge",,,-4.2648501,39.5936012
Villa Mozilla Diani Beach,,,-4.285264,39.5865555
A secluded escape with Private Pool and Chef .,,,-4.275826,39.5889435
Modern 4-BR Diani villa-ooftop in & Beach Access in Diani Beach ideal for,,,-4.2765379,39.5857506
